,GitHub Name,Smogon Name,PMD Reference,,Pts.,Spr.,D.Spr.,Pokémon,Types,,HP,Atk,Def,SpA,SpD,Spe,0,252,252+,,Sprite
,gliscor,gliscor,0472,,14,,,Gliscor,Ground,Flying,75,95,125,45,75,95,226,289,317,,
,mamoswine,mamoswine,0473,,12,,,Mamoswine,Ice,Ground,110,130,80,70,60,80,196,259,284,,
,porygon-z,porygonz,0474,,5,,,Porygon-Z,Normal,-,85,80,70,135,75,90,216,279,306,,
,gallade,gallade,0475,,1,,,Gallade,Psychic,Fighting,68,125,65,65,115,80,196,259,284,,
,gallade-mega,gallade-mega,0475/0001,,18,,,Mega Gallade,Psychic,Fighting,68,165,95,65,115,110,256,319,350,,
,probopass,probopass,0476,,1,,,Probopass,Rock,Steel,60,55,145,75,150,40,116,179,196,,
,dusknoir,dusknoir,0477,,1,,,Dusknoir,Ghost,-,45,100,135,65,135,45,126,189,207,,
,froslass,froslass,0478,,3,,,Froslass,Ice,Ghost,70,80,70,80,70,110,256,319,350,,
,rotom,rotom,0479,,3,,,Rotom,Electric,Ghost,50,50,77,95,77,91,218,281,309,,
,rotom-apps,rotom-apps,0479/0002,,,,,Rotom-Apps,Electric,Ghost,50,65,107,105,107,86,208,271,298,,
,rotom-heat,rotom-heat,0479/0001,,11,,,Rotom-Heat,Electric,Fire,50,65,107,105,107,86,208,271,298,,
,rotom-wash,rotom-wash,0479/0002,,15,,,Rotom-Wash,Electric,Water,50,65,107,105,107,86,208,271,298,,
,rotom-frost,rotom-frost,0479/0003,,6,,,Rotom-Frost,Electric,Ice,50,65,107,105,107,86,208,271,298,,
,rotom-fan,rotom-fan,0479/0004,,2,,,Rotom-Fan,Electric,Flying,50,65,107,105,107,86,208,271,298,,
,rotom-mow,rotom-mow,0479/0005,,6,,,Rotom-Mow,Electric,Grass,50,65,107,105,107,86,208,271,298,,
,uxie,uxie,0480,,11,,,Uxie,Psychic,-,75,75,130,75,130,95,226,289,317,,
,mesprit,mesprit,0481,,11,,,Mesprit,Psychic,-,80,105,105,105,105,80,196,259,284,,
,azelf,azelf,0482,,12,,,Azelf,Psychic,-,75,125,70,125,70,115,266,329,361,,
,dialga,dialga,0483,,99,,,Dialga,Steel,Dragon,100,120,120,150,100,90,216,279,306,,
,dialga-origin,dialga-origin,0483/0001,,,,,Dialga-Origin,Steel,Dragon,100,100,120,150,100,90,216,279,306,,
,palkia,palkia,0484,,99,,,Palkia,Water,Dragon,90,120,100,150,120,100,236,299,328,,
,palkia-origin,palkia-origin,0484/0001,,,,,Palkia-Origin,Water,Dragon,90,100,100,150,120,120,276,339,372,,
,heatran,heatran,0485,,16,,,Heatran,Fire,Steel,91,90,106,130,106,77,190,253,278,,
,regigigas,regigigas,0486,,1,,,Regigigas,Normal,-,110,160,110,80,110,100,236,299,328,,
,giratina,giratina,0487,,99,,,Giratina,Ghost,Dragon,150,100,120,100,120,90,216,279,306,,
,giratina-origin,giratina-origin,0487/0001,,,,,Giratina-Origin,Ghost,Dragon,150,120,100,120,100,90,216,279,306,,
,cresselia,cresselia,0488,,13,,,Cresselia,Psychic,-,120,70,120,75,130,85,206,269,295,,
,phione,phione,0489,,1,,,Phione,Water,-,80,80,80,80,80,80,196,259,284,,
,manaphy,manaphy,0490,,17,,,Manaphy,Water,-,100,100,100,100,100,100,236,299,328,,
,darkrai,darkrai,0491,,99,,,Darkrai,Dark,-,70,90,90,135,90,125,286,349,383,,
,shaymin,shaymin,0492,,7,,,Shaymin,Grass,-,100,100,100,100,100,100,236,299,328,,
,shaymin-sky,shaymin-sky,0492/0001,,99,,,Shaymin-Sky,Grass,Flying,100,103,75,120,75,127,290,353,388,,
,arceus,arceus,0493,,99,,,Arceus,Normal,-,120,120,120,120,120,120,276,339,372,,
,arceus-bug,arceus-bug,0493/0001,,99,,,Arceus-Bug,Bug,-,120,120,120,120,120,120,276,339,372,,
,arceus-dark,arceus-dark,0493/0002,,99,,,Arceus-Dark,Dark,-,120,120,120,120,120,120,276,339,372,,
,arceus-dragon,arceus-dragon,0493/0003,,99,,,Arceus-Dragon,Dragon,-,120,120,120,120,120,120,276,339,372,,
,arceus-electric,arceus-electric,0493/0004,,99,,,Arceus-Electric,Electric,-,120,120,120,120,120,120,276,339,372,,
,arceus-fairy,arceus-fairy,0493/0017,,99,,,Arceus-Fairy,Fairy,-,120,120,120,120,120,120,276,339,372,,
,arceus-fighting,arceus-fighting,0493/0005,,99,,,Arceus-Fighting,Fighting,-,120,120,120,120,120,120,276,339,372,,
,arceus-fire,arceus-fire,0493/0006,,99,,,Arceus-Fire,Fire,-,120,120,120,120,120,120,276,339,372,,
,arceus-flying,arceus-flying,0493/0007,,99,,,Arceus-Flying,Flying,-,120,120,120,120,120,120,276,339,372,,
,arceus-ghost,arceus-ghost,0493/0008,,99,,,Arceus-Ghost,Ghost,-,120,120,120,120,120,120,276,339,372,,
,arceus-grass,arceus-grass,0493/0009,,99,,,Arceus-Grass,Grass,-,120,120,120,120,120,120,276,339,372,,
,arceus-ground,arceus-ground,0493/0010,,99,,,Arceus-Ground,Ground,-,120,120,120,120,120,120,276,339,372,,
,arceus-ice,arceus-ice,0493/0011,,99,,,Arceus-Ice,Ice,-,120,120,120,120,120,120,276,339,372,,
,arceus-poison,arceus-poison,0493/0012,,99,,,Arceus-Poison,Poison,-,120,120,120,120,120,120,276,339,372,,
,arceus-psychic,arceus-psychic,0493/0013,,99,,,Arceus-Psychic,Psychic,-,120,120,120,120,120,120,276,339,372,,
,arceus-rock,arceus-rock,0493/0014,,99,,,Arceus-Rock,Rock,-,120,120,120,120,120,120,276,339,372,,
,arceus-steel,arceus-steel,0493/0015,,99,,,Arceus-Steel,Steel,-,120,120,120,120,120,120,276,339,372,,
,arceus-water,arceus-water,0493/0016,,99,,,Arceus-Water,Water,-,120,120,120,120,120,120,276,339,372,,
,victini,victini,0494,,13,,,Victini,Psychic,Fire,100,100,100,100,100,100,236,299,328,,
,snivy,snivy,0495,,1,,,Snivy,Grass,-,45,45,55,45,55,63,162,225,247,,
,servine,servine,0496,,1,,,Servine,Grass,-,60,60,75,60,75,83,202,265,291,,
,serperior,serperior,0497,,15,,,Serperior,Grass,-,75,75,95,75,95,113,262,325,357,,
,tepig,tepig,0498,,1,,,Tepig,Fire,-,65,63,45,45,45,45,126,189,207,,
,pignite,pignite,0499,,1,,,Pignite,Fire,Fighting,90,93,55,70,55,55,146,209,229,,
,emboar,emboar,0500,,2,,,Emboar,Fire,Fighting,110,123,65,100,65,65,166,229,251,,
,oshawott,oshawott,0501,,1,,,Oshawott,Water,-,55,55,45,63,45,45,126,189,207,,
,dewott,dewott,0502,,1,,,Dewott,Water,-,75,75,60,83,60,60,156,219,240,,
,samurott,samurott,0503,,1,,,Samurott,Water,-,95,100,85,108,70,70,176,239,262,,
,samurott-hisui,samurott-hisui,0503/0001,,,,,Hisuian Samurott,Water,Dark,90,108,80,100,65,85,206,269,295,,
,patrat,patrat,0504,,1,,,Patrat,Normal,-,45,55,39,35,39,42,120,183,201,,
,watchog,watchog,0505,,1,,,Watchog,Normal,-,60,85,69,60,69,77,190,253,278,,
,lillipup,lillipup,0506,,1,,,Lillipup,Normal,-,45,60,45,25,45,55,146,209,229,,
,herdier,herdier,0507,,1,,,Herdier,Normal,-,65,80,65,35,65,60,156,219,240,,
,stoutland,stoutland,0508,,2,,,Stoutland,Normal,-,85,110,90,45,90,80,196,259,284,,
,purrloin,purrloin,0509,,1,,,Purrloin,Dark,-,41,50,37,50,37,66,168,231,254,,
,liepard,liepard,0510,,2,,,Liepard,Dark,-,64,88,50,88,50,106,248,311,342,,
,pansage,pansage,0511,,1,,,Pansage,Grass,-,50,53,48,53,48,64,164,227,249,,
,simisage,simisage,0512,,1,,,Simisage,Grass,-,75,98,63,98,63,101,238,301,331,,
,pansear,pansear,0513,,1,,,Pansear,Fire,-,50,53,48,53,48,64,164,227,249,,
,simisear,simisear,0514,,1,,,Simisear,Fire,-,75,98,63,98,63,101,238,301,331,,
,panpour,panpour,0515,,1,,,Panpour,Water,-,50,53,48,53,48,64,164,227,249,,
,simipour,simipour,0516,,1,,,Simipour,Water,-,75,98,63,98,63,101,238,301,331,,
,munna,munna,0517,,1,,,Munna,Psychic,-,76,25,45,67,55,24,84,147,161,,
,musharna,musharna,0518,,3,,,Musharna,Psychic,-,116,55,85,107,95,29,94,157,172,,
,pidove,pidove,0519,,1,,,Pidove,Normal,Flying,50,55,50,36,30,43,122,185,203,,
,tranquill,tranquill,0520,,1,,,Tranquill,Normal,Flying,62,77,62,50,42,65,166,229,251,,
,unfezant,unfezant,0521,,1,,,Unfezant,Normal,Flying,80,115,80,65,55,93,222,285,313,,
,blitzle,blitzle,0522,,1,,,Blitzle,Electric,-,45,60,32,50,32,76,188,251,276,,
,zebstrika,zebstrika,0523,,1,,,Zebstrika,Electric,-,75,100,63,80,63,116,268,331,364,,
,roggenrola,roggenrola,0524,,1,,,Roggenrola,Rock,-,55,75,85,25,25,15,66,129,141,,
,boldore,boldore,0525,,1,,,Boldore,Rock,-,70,105,105,50,40,20,76,139,152,,
,gigalith,gigalith,0526,,8,,,Gigalith,Rock,-,85,135,130,60,80,25,86,149,163,,
,woobat,woobat,0527,,1,,,Woobat,Psychic,Flying,65,45,43,55,43,72,180,243,267,,
,swoobat,swoobat,0528,,1,,,Swoobat,Psychic,Flying,67,57,55,77,55,114,264,327,359,,
,drilbur,drilbur,0529,,1,,,Drilbur,Ground,-,60,85,40,30,45,68,172,235,258,,
,excadrill,excadrill,0530,,14,,,Excadrill,Ground,Steel,110,135,60,50,65,88,212,275,302,,
,audino,audino,0531,,3,,,Audino,Normal,-,103,60,86,60,86,50,136,199,218,,
,audino-mega,audino-mega,0531/0001,,7,,,Mega Audino,Normal,Fairy,103,60,126,80,126,50,136,199,218,,
,timburr,timburr,0532,,1,,,Timburr,Fighting,-,75,80,55,25,35,35,106,169,185,,
,gurdurr,gurdurr,0533,,4,,,Gurdurr,Fighting,-,85,105,85,40,50,40,116,179,196,,
,conkeldurr,conkeldurr,0534,,7,,,Conkeldurr,Fighting,-,105,140,95,55,65,45,126,189,207,,
,tympole,tympole,0535,,1,,,Tympole,Water,-,50,50,40,50,40,64,164,227,249,,
,palpitoad,palpitoad,0536,,1,,,Palpitoad,Water,Ground,75,65,55,65,55,69,174,237,260,,
,seismitoad,seismitoad,0537,,10,,,Seismitoad,Water,Ground,105,95,75,85,75,74,184,247,271,,
,throh,throh,0538,,4,,,Throh,Fighting,-,120,100,85,30,85,45,126,189,207,,
,sawk,sawk,0539,,3,,,Sawk,Fighting,-,75,125,75,30,75,85,206,269,295,,
,sewaddle,sewaddle,0540,,1,,,Sewaddle,Bug,Grass,45,53,70,40,60,42,120,183,201,,
,swadloon,swadloon,0541,,1,,,Swadloon,Bug,Grass,55,63,90,50,80,42,120,183,201,,
,leavanny,leavanny,0542,,1,,,Leavanny,Bug,Grass,75,103,80,70,80,92,220,283,311,,
,venipede,venipede,0543,,1,,,Venipede,Bug,Poison,30,45,59,30,39,57,150,213,234,,
,whirlipede,whirlipede,0544,,1,,,Whirlipede,Bug,Poison,40,55,99,40,79,47,130,193,212,,
,scolipede,scolipede,0545,,10,,,Scolipede,Bug,Poison,60,100,89,55,69,112,260,323,355,,
,cottonee,cottonee,0546,,1,,,Cottonee,Grass,Fairy,40,27,60,37,50,66,168,231,254,,
,whimsicott,whimsicott,0547,,8,,,Whimsicott,Grass,Fairy,60,67,85,77,75,116,268,331,364,,
,petilil,petilil,0548,,1,,,Petilil,Grass,-,45,35,50,70,50,30,96,159,174,,
,lilligant,lilligant,0549,,1,,,Lilligant,Grass,-,70,60,75,110,75,90,216,279,306,,
,lilligant-hisui,lilligant-hisui,0549/0001,,,,,Hisuian Lilligant,Grass,Fighting,70,105,75,50,75,105,246,309,339,,
,basculin,basculin,0550,,1,,,Basculin,Water,-,70,92,65,80,55,98,232,295,324,,
,basculin-blue-striped,basculin-bluestriped,0550/0001,,,,,-,Water,-,70,92,65,80,55,98,232,295,324,,
,basculin-white-striped,basculin-whitestriped,0550/0002,,,,,-,Water,-,70,92,65,80,55,98,232,295,324,,
,sandile,sandile,0551,,1,,,Sandile,Ground,Dark,50,72,35,35,35,65,166,229,251,,
,krokorok,krokorok,0552,,1,,,Krokorok,Ground,Dark,60,82,45,45,45,74,184,247,271,,
,krookodile,krookodile,0553,,15,,,Krookodile,Ground,Dark,95,117,80,65,70,92,220,283,311,,
,darumaka,darumaka,0554,,1,,,Darumaka,Fire,-,70,90,45,15,45,50,136,199,218,,
,darumaka-galar,darumaka-galar,0554/0001,,,,,Galarian Darumaka,Ice,-,70,90,45,15,45,50,136,199,218,,
,darmanitan,darmanitan,0555,,12,,,Darmanitan,Fire,-,105,140,55,30,55,95,226,289,317,,
,darmanitan-zen,darmanitan-zen,0555/0001,,,,,-,Fire,Psychic,105,30,105,140,105,55,146,209,229,,
,darmanitan-galar,darmanitan-galar,0555/0002,,,,,Galarian Darmanitan,Ice,-,105,140,55,30,55,95,226,289,317,,
,darmanitan-galar-zen,darmanitan-galarzen,0555/0003,,,,,-,Ice,Fire,105,160,55,30,55,135,306,369,405,,
,maractus,maractus,0556,,1,,,Maractus,Grass,-,75,86,67,106,67,60,156,219,240,,
,dwebble,dwebble,0557,,1,,,Dwebble,Bug,Rock,50,65,85,35,35,55,146,209,229,,
,crustle,crustle,0558,,3,,,Crustle,Bug,Rock,70,105,125,65,75,45,126,189,207,,
,scraggy,scraggy,0559,,1,,,Scraggy,Dark,Fighting,50,75,70,35,70,48,132,195,214,,
,scrafty,scrafty,0560,,7,,,Scrafty,Dark,Fighting,65,90,115,45,115,58,152,215,236,,
,sigilyph,sigilyph,0561,,1,,,Sigilyph,Psychic,Flying,72,58,80,103,80,97,230,293,322,,
,yamask,yamask,0562,,1,,,Yamask,Ghost,-,38,30,85,55,65,30,96,159,174,,
,yamask-galar,yamask-galar,0562/0001,,,,,Galarian Yamask,Ground,Ghost,38,55,85,30,65,30,96,159,174,,
,cofagrigus,cofagrigus,0563,,7,,,Cofagrigus,Ghost,-,58,50,145,95,105,30,96,159,174,,
,tirtouga,tirtouga,0564,,1,,,Tirtouga,Water,Rock,54,78,103,53,45,22,80,143,157,,
,carracosta,carracosta,0565,,2,,,Carracosta,Water,Rock,74,108,133,83,65,32,100,163,179,,
,archen,archen,0566,,1,,,Archen,Rock,Flying,55,112,45,74,45,70,176,239,262,,
,archeops,archeops,0567,,2,,,Archeops,Rock,Flying,75,140,65,112,65,110,256,319,350,,
,trubbish,trubbish,0568,,1,,,Trubbish,Poison,-,50,50,62,40,62,65,166,229,251,,
,garbodor,garbodor,0569,,5,,,Garbodor,Poison,-,80,95,82,60,82,75,186,249,273,,
,zorua,zorua,0570,,1,,,Zorua,Dark,-,40,65,40,80,40,65,166,229,251,,
,zorua-hisui,zorua-hisui,0570/0002,,,,,Hisuian Zorua,Normal,Ghost,35,60,40,85,40,70,176,239,262,,
,zoroark,zoroark,0571,,3,,,Zoroark,Dark,-,60,105,60,120,60,105,246,309,339,,
,zoroark-hisui,zoroark-hisui,0571/0001,,,,,Hisuian Zoroark,Normal,Ghost,60,105,60,120,60,105,246,309,339,,
,minccino,minccino,0572,,1,,,Minccino,Normal,-,55,50,40,40,40,75,186,249,273,,
,cinccino,cinccino,0573,,3,,,Cinccino,Normal,-,75,95,60,65,60,115,266,329,361,,
,gothita,gothita,0574,,1,,,Gothita,Psychic,-,45,30,50,55,65,45,126,189,207,,
,gothorita,gothorita,0575,,2,,,Gothorita,Psychic,-,60,45,70,75,85,55,146,209,229,,
,gothitelle,gothitelle,0576,,4,,,Gothitelle,Psychic,-,70,55,95,95,110,65,166,229,251,,
,solosis,solosis,0577,,1,,,Solosis,Psychic,-,45,30,40,105,50,20,76,139,152,,
,duosion,duosion,0578,,1,,,Duosion,Psychic,-,65,40,50,125,60,30,96,159,174,,
,reuniclus,reuniclus,0579,,9,,,Reuniclus,Psychic,-,110,65,75,125,85,30,96,159,174,,
,ducklett,ducklett,0580,,1,,,Ducklett,Water,Flying,62,44,50,44,50,55,146,209,229,,
,swanna,swanna,0581,,1,,,Swanna,Water,Flying,75,87,63,87,63,98,232,295,324,,
,vanillite,vanillite,0582,,1,,,Vanillite,Ice,-,36,50,50,65,60,44,124,187,205,,
,vanillish,vanillish,0583,,1,,,Vanillish,Ice,-,51,65,65,80,75,59,154,217,238,,
,vanilluxe,vanilluxe,0584,,3,,,Vanilluxe,Ice,-,71,95,85,110,95,79,194,257,282,,
,deerling,deerling,0585,,1,,,Deerling,Normal,Grass,60,60,50,40,50,75,186,249,273,,
,sawsbuck,sawsbuck,0586,,1,,,Sawsbuck,Normal,Grass,80,100,70,60,70,95,226,289,317,,
,emolga,emolga,0587,,1,,,Emolga,Electric,Flying,55,75,60,75,60,103,242,305,335,,
,karrablast,karrablast,0588,,1,,,Karrablast,Bug,-,50,75,45,40,45,60,156,219,240,,
,escavalier,escavalier,0589,,4,,,Escavalier,Bug,Steel,70,135,105,60,105,20,76,139,152,,
,foongus,foongus,0590,,1,,,Foongus,Grass,Poison,69,55,45,55,55,15,66,129,141,,
,amoonguss,amoonguss,0591,,10,,,Amoonguss,Grass,Poison,114,85,70,85,80,30,96,159,174,,
,frillish,frillish,0592,,1,,,Frillish,Water,Ghost,55,40,50,65,85,40,116,179,196,,
,jellicent,jellicent,0593,,5,,,Jellicent,Water,Ghost,100,60,70,85,105,60,156,219,240,,
,alomomola,alomomola,0594,,10,,,Alomomola,Water,-,165,75,80,40,45,65,166,229,251,,
,joltik,joltik,0595,,1,,,Joltik,Bug,Electric,50,47,50,57,50,65,166,229,251,,
,galvantula,galvantula,0596,,3,,,Galvantula,Bug,Electric,70,77,60,97,60,108,252,315,346,,
,ferroseed,ferroseed,0597,,1,,,Ferroseed,Grass,Steel,44,50,91,24,86,10,56,119,130,,
,ferrothorn,ferrothorn,0598,,12,,,Ferrothorn,Grass,Steel,74,94,131,54,116,20,76,139,152,,
,klink,klink,0599,,1,,,Klink,Steel,-,40,55,70,45,60,30,96,159,174,,
,klang,klang,0600,,1,,,Klang,Steel,-,60,80,95,70,85,50,136,199,218,,
,klinklang,klinklang,0601,,1,,,Klinklang,Steel,-,60,100,115,70,85,90,216,279,306,,
,tynamo,tynamo,0602,,1,,,Tynamo,Electric,-,35,55,40,45,40,60,156,219,240,,
,eelektrik,eelektrik,0603,,1,,,Eelektrik,Electric,-,65,85,70,75,70,40,116,179,196,,
,eelektross,eelektross,0604,,6,,,Eelektross,Electric,-,85,115,80,105,80,50,136,199,218,,
,elgyem,elgyem,0605,,1,,,Elgyem,Psychic,-,55,55,55,85,55,30,96,159,174,,
,beheeyem,beheeyem,0606,,1,,,Beheeyem,Psychic,-,75,75,75,125,95,40,116,179,196,,
,litwick,litwick,0607,,1,,,Litwick,Ghost,Fire,50,30,55,65,55,20,76,139,152,,
,lampent,lampent,0608,,1,,,Lampent,Ghost,Fire,60,40,60,95,60,55,146,209,229,,
,chandelure,chandelure,0609,,5,,,Chandelure,Ghost,Fire,60,55,90,145,90,80,196,259,284,,
,axew,axew,0610,,1,,,Axew,Dragon,-,46,87,60,30,40,57,150,213,234,,
,fraxure,fraxure,0611,,1,,,Fraxure,Dragon,-,66,117,70,40,50,67,170,233,256,,
,haxorus,haxorus,0612,,10,,,Haxorus,Dragon,-,76,147,90,60,70,97,230,293,322,,
,cubchoo,cubchoo,0613,,1,,,Cubchoo,Ice,-,55,70,40,60,40,40,116,179,196,,
,beartic,beartic,0614,,1,,,Beartic,Ice,-,95,130,80,70,80,50,136,199,218,,
,cryogonal,cryogonal,0615,,2,,,Cryogonal,Ice,-,80,50,50,95,135,105,246,309,339,,
,shelmet,shelmet,0616,,1,,,Shelmet,Bug,-,50,40,85,40,65,25,86,149,163,,
,accelgor,accelgor,0617,,4,,,Accelgor,Bug,-,80,70,40,100,60,145,326,389,427,,
,stunfisk,stunfisk,0618,,7,,,Stunfisk,Ground,Electric,109,66,84,81,99,32,100,163,179,,
,stunfisk-galar,stunfisk-galar,0618/0001,,,,,Galarian Stunfisk,Ground,Steel,109,81,99,66,84,32,100,163,179,,
,mienfoo,mienfoo,0619,,1,,,Mienfoo,Fighting,-,45,85,50,55,50,65,166,229,251,,
,mienshao,mienshao,0620,,11,,,Mienshao,Fighting,-,65,125,60,95,60,105,246,309,339,,
,druddigon,druddigon,0621,,4,,,Druddigon,Dragon,-,77,120,90,60,90,48,132,195,214,,
,golett,golett,0622,,1,,,Golett,Ground,Ghost,59,74,50,35,50,35,106,169,185,,
,golurk,golurk,0623,,3,,,Golurk,Ground,Ghost,89,124,80,55,80,55,146,209,229,,
,pawniard,pawniard,0624,,1,,,Pawniard,Dark,Steel,45,85,70,40,40,60,156,219,240,,
,bisharp,bisharp,0625,,6,,,Bisharp,Dark,Steel,65,125,100,60,70,70,176,239,262,,
,bouffalant,bouffalant,0626,,4,,,Bouffalant,Normal,-,95,110,95,40,95,55,146,209,229,,
,rufflet,rufflet,0627,,1,,,Rufflet,Normal,Flying,70,83,50,37,50,60,156,219,240,,
,braviary,braviary,0628,,3,,,Braviary,Normal,Flying,100,123,75,57,75,80,196,259,284,,
,braviary-hisui,braviary-hisui,0628/0001,,,,,Hisuian Braviary,Psychic,Flying,110,83,70,112,70,65,166,229,251,,
,vullaby,vullaby,0629,,1,,,Vullaby,Dark,Flying,70,55,75,45,65,60,156,219,240,,
,mandibuzz,mandibuzz,0630,,11,,,Mandibuzz,Dark,Flying,110,65,105,55,95,80,196,259,284,,
,heatmor,heatmor,0631,,1,,,Heatmor,Fire,-,85,97,66,105,66,65,166,229,251,,
,durant,durant,0632,,3,,,Durant,Bug,Steel,58,109,112,48,48,109,254,317,348,,
,deino,deino,0633,,1,,,Deino,Dark,Dragon,52,65,50,45,50,38,112,175,192,,
,zweilous,zweilous,0634,,1,,,Zweilous,Dark,Dragon,72,85,70,65,70,58,152,215,236,,
,hydreigon,hydreigon,0635,,14,,,Hydreigon,Dark,Dragon,92,105,90,125,90,98,232,295,324,,
,larvesta,larvesta,0636,,1,,,Larvesta,Bug,Fire,55,85,55,50,55,60,156,219,240,,
,volcarona,volcarona,0637,,15,,,Volcarona,Bug,Fire,85,60,65,135,105,100,236,299,328,,
,cobalion,cobalion,0638,,9,,,Cobalion,Steel,Fighting,91,90,129,90,72,108,252,315,346,,
,terrakion,terrakion,0639,,14,,,Terrakion,Rock,Fighting,91,129,90,72,90,108,252,315,346,,
,virizion,virizion,0640,,2,,,Virizion,Grass,Fighting,91,90,72,90,129,108,252,315,346,,
,tornadus,tornadus,0641,,10,,,Tornadus-Incarnate,Flying,-,79,115,70,125,80,111,258,321,353,,
,tornadus-therian,tornadus-therian,0641/0001,,17,,,Tornadus-Therian,Flying,-,79,100,80,110,90,121,278,341,375,,
,thundurus,thundurus,0642,,15,,,Thundurus-Incarnate,Electric,Flying,79,115,70,125,80,111,258,321,353,,
,thundurus-therian,thundurus-therian,0642/0001,,15,,,Thundurus-Therian,Electric,Flying,79,105,70,145,80,101,238,301,331,,
,reshiram,reshiram,0643,,99,,,Reshiram,Dragon,Fire,100,120,100,150,120,90,216,279,306,,
,zekrom,zekrom,0644,,99,,,Zekrom,Dragon,Electric,100,150,120,120,100,90,216,279,306,,
,landorus,landorus,0645,,16,,,Landorus-Incarnate,Ground,Flying,89,125,90,115,80,101,238,301,331,,
,landorus-therian,landorus-therian,0645/0001,,19,,,Landorus-Therian,Ground,Flying,89,145,90,105,80,91,218,281,309,,
,kyurem,kyurem,0646,,15,,,Kyurem,Dragon,Ice,125,130,90,130,90,95,226,289,317,,
,kyurem-black,kyurem-black,0646/0001,,18,,,Kyurem-Black,Dragon,Ice,125,170,100,120,90,95,226,289,317,,
,kyurem-white,kyurem-white,0646/0002,,99,,,Kyurem-White,Dragon,Ice,125,120,90,170,100,95,226,289,317,,
,keldeo,keldeo,0647,,13,,,Keldeo,Water,Fighting,91,72,90,129,90,108,252,315,346,,
,keldeo-resolute,keldeo-resolute,0647/0001,,,,,-,Water,Fighting,91,72,90,129,90,108,252,315,346,,
,meloetta,meloetta,0648,,6,,,Meloetta,Normal,Psychic,100,77,77,128,128,90,216,279,306,,
,meloetta-pirouette,meloetta-pirouette,0648/0001,,,,,-,Normal,Fighting,100,128,90,77,77,128,292,355,390,,
,genesect,genesect,0649,,99,,,Genesect,Bug,Steel,71,120,95,120,95,99,234,297,326,,
,genesect-douse,genesect-douse,0649/0001,,,,,-,Bug,Steel,71,120,95,120,95,99,234,297,326,,
,genesect-shock,genesect-shock,0649/0002,,,,,-,Bug,Steel,71,120,95,120,95,99,234,297,326,,
,genesect-burn,genesect-burn,0649/0003,,,,,-,Bug,Steel,71,120,95,120,95,99,234,297,326,,
,genesect-chill,genesect-chill,0649/0004,,,,,-,Bug,Steel,71,120,95,120,95,99,234,297,326,,
,chespin,chespin,0650,,1,,,Chespin,Grass,-,56,61,65,48,45,38,112,175,192,,
,quilladin,quilladin,0651,,4,,,Quilladin,Grass,-,61,78,95,56,58,57,150,213,234,,
,chesnaught,chesnaught,0652,,5,,,Chesnaught,Grass,Fighting,88,107,122,74,75,64,164,227,249,,
,fennekin,fennekin,0653,,1,,,Fennekin,Fire,-,40,45,40,62,60,60,156,219,240,,
,braixen,braixen,0654,,1,,,Braixen,Fire,-,59,59,58,90,70,73,182,245,269,,
,delphox,delphox,0655,,3,,,Delphox,Fire,Psychic,75,69,72,114,100,104,244,307,337,,
,froakie,froakie,0656,,1,,,Froakie,Water,-,41,56,40,62,44,71,178,241,265,,
,frogadier,frogadier,0657,,1,,,Frogadier,Water,-,54,63,52,83,56,97,230,293,322,,
,greninja,greninja,0658,,16,,,Greninja,Water,Dark,72,95,67,103,71,122,280,343,377,,
,greninja-ash,greninja-ash,0658/0001,,,,,-,Water,Dark,72,145,67,153,71,132,300,363,399,,
,bunnelby,bunnelby,0659,,1,,,Bunnelby,Normal,-,38,36,38,32,36,57,150,213,234,,
,diggersby,diggersby,0660,,8,,,Diggersby,Normal,Ground,85,56,77,50,77,78,192,255,280,,
,fletchling,fletchling,0661,,1,,,Fletchling,Normal,Flying,45,50,43,40,38,62,160,223,245,,
,fletchinder,fletchinder,0662,,1,,,Fletchinder,Fire,Flying,62,73,55,56,52,84,204,267,293,,
,talonflame,talonflame,0663,,9,,,Talonflame,Fire,Flying,78,81,71,74,69,126,288,351,386,,
,scatterbug,scatterbug,0664,,1,,,Scatterbug,Bug,-,38,35,40,27,25,35,106,169,185,,
,spewpa,spewpa,0665,,1,,,Spewpa,Bug,-,45,22,60,27,30,29,94,157,172,,
,vivillon,vivillon,0666,,1,,,Vivillon,Bug,Flying,80,52,50,90,50,89,214,277,304,,
,vivillon-fancy,vivillon-fancy,0666/0001,,,,,-,Bug,Flying,80,52,50,90,50,89,214,277,304,,
,vivillon-poke-ball,vivillon-pokeball,0666/0019,,,,,-,Bug,Flying,80,52,50,90,50,89,214,277,304,,
,litleo,litleo,0667,,1,,,Litleo,Fire,Normal,62,50,58,73,54,72,180,243,267,,
,pyroar,pyroar,0668,,1,,,Pyroar,Fire,Normal,86,68,72,109,66,106,248,311,342,,
,flabebe,flabebe,0669,,1,,,Flabébé,Fairy,-,44,38,39,61,79,42,120,183,201,,
,floette,floette,0670,,1,,,Floette,Fairy,-,54,45,47,75,98,52,140,203,223,,
,floette-eternal,floette-eternal,0670/0001,,99,,,Floette-Eternal,Fairy,-,74,65,67,125,128,92,220,283,311,,
,florges,florges,0671,,9,,,Florges,Fairy,-,78,65,68,112,154,75,186,249,273,,
,skiddo,skiddo,0672,,1,,,Skiddo,Grass,-,66,65,48,62,57,52,140,203,223,,
